Cargo,Local,Empresa,Descricao,Link,nivel,vaga,cidade,estado,latitude,longitude
analista cientista de dados sr.,"São Paulo, SP",PagSeguro PagBank,Conhecimento de ferramentas de visualização de dados.Experiência com processos de ETL de dados.Trabalhar em conjunto com o engenheiro de dados e arquitetos de…,https://tinyurl.com/yxvsp3xd,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro/cientista de dados,"São Paulo, SP",Softtek,Conhecimento avançado de desenvolvimento com banco de dados;Domínio de linguagem de programação de back-end;Junte-se a Softtek Brasil!,https://tinyurl.com/yxdu3t8h,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados pleno,"São Paulo, SP",HAYS,"Pacote de benefícios completo e atrativo de mercado.Atuando como Cientista de Dados, utilizando técnicas de machine learning e algoritmos avançados.",https://tinyurl.com/y2495rsp,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
anl prevencao fraude (cientista de dados) pl/sr,"São Paulo, SP",Santander Brasil,"Conhecimento em manipulação de grandes volumes de dados e linguagens de programação (SQL, Python, SAS e Excel);Aqui você pode ser quem você é!",https://tinyurl.com/y4rxk9fp,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados - remoto,"São Paulo, SP",HOLDEN Recruiting Talents,Cliente: Empresa de grande porte.Banco de Dados SQL Server;Conhecimentos em técnicas de Machine Learning;Metodologia Six Sigma - Green Belt;,https://tinyurl.com/y52cfsv7,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Comunidade Cognitivo.ai,"Criação de features para otimização de modelos.A posição de Cientista de Dados irá atuar nos nossos projetos, de forma freelancer e 100% remota.",https://tinyurl.com/yyxkkeev,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",TOTVS,"Experiência na manipulação dos seguintes itens: modelo multidimensional (OLAP), data warehouse, data mart, mineração de dados, banco de dados relacionais (OLTP)…",https://tinyurl.com/y46w8xf3,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados hadoop,"São Paulo, SP",GeekHunter,"Evoluir com a disciplina de DevOps no time de dados.Somos a maior consultoria de intermediação imobiliária do país, com mais de 80 anos de história,…",https://tinyurl.com/y3vd9wvd,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados senior,"São Paulo, SP",GeekHunter,"Procurar por ordem e padrões nos dados, além de identificar tendências que podem ajudar no resultado financeiro de uma empresa;O que você irá fazer?",https://tinyurl.com/y37d2bo8,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados senior,"São Paulo, SP",Creditas,Saber traduzir bem a linguagem de um cientista de dados para as demais pessoas envolvidas no projeto;Nosso time de Ciência de Dados.Como será o seu dia a dia.,https://tinyurl.com/yysg5obf,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
[remoto] cientista de dados,"São Paulo, SP",RADIX Engenharia e Software,"Limpeza e análise estatística de dados;Além da experiência de crescimento e troca de conhecimento, os nossos colaboradores têm acesso a:",https://tinyurl.com/y3s66kcp,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados sql server senior,"São Paulo, SP",GeekHunter,"Analise de Banco de Dados.Ser responsável pela qualidade e segurança do banco de dados.Livre de taxas abusivas, livre de burocracia, livre de filas e…",https://tinyurl.com/yxqsqhpa,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados sr,"São Paulo, SP",Stefanini,"Atuação na área de Pré-vendas com foco em tecnologias de Business Analytics, realizando o entendimento de necessidades de clientes, arquitetura de soluções…",https://tinyurl.com/y3htm6j4,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados pleno,"São Paulo, SP",C6 Bank,"Experiência com técnicas de mineração de dados e sistemas de recomendação.Trabalhar com parceiros de negócios, engenheiro(a)s de dados e times de tecnologia…",https://tinyurl.com/y42fn2mx,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados python,"São Paulo, SP",GeekHunter,"SQL e estrutura de banco de dados.A plataforma online permite que viajantes pesquisem, comparem e comprem passagem de ônibus rodoviário de mais de 100 empresas…",https://tinyurl.com/yxm565uw,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Yoctoo,"Os membros da equipe devem ser engenheiros ou cientistas de dados e/ou possuir experiência em aplicações de técnicas de Analytics avançado (incluindo, porém não…",https://tinyurl.com/yy6bcw8u,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Reachr Soluções Inovadoras em RH,Avaliar a eficácia e precisão de novas fontes de dados e técnicas de coleta de dados.Minerar e analisar dados de bancos de dados da empresa para impulsionar a…,https://tinyurl.com/y2fok3co,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados pleno,"São Paulo, SP",Porto Seguro,"Encontrar a solução de cada tipo de problema, muito antes de treinar um modelo de IA.Analisar todos os ângulos de um problema, considerar a fonte correta de…",https://tinyurl.com/y6bhoo5d,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Braskem,"We are looking for a Data scientist to join our rapidly growing team.You will join Braskem’s new Digital Center, which is an innovation hub set up to develop…",https://tinyurl.com/y4rjkkcu,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
estagio em data analytics / cientista de dados 01 vaga,"São Paulo, SP",None,2 - Estágio em Data Analytics / Cientista de dados.PARA VER ESTA E OUTRAS VAGAS DE EMPREGO ACESSE O SITE OFICIAL DESTA VAGA WWW.TALENTOSBRILHANTES.NET.,https://tinyurl.com/y4wocr9o,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Reachr Soluções Inovadoras em RH,Avaliar a eficácia e precisão de novas fontes de dados e técnicas de coleta de dados.Minerar e analisar dados de bancos de dados da empresa para impulsionar a…,https://tinyurl.com/y4zcewos,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Reachr Soluções Inovadoras em RH,Avaliar a eficácia e precisão de novas fontes de dados e técnicas de coleta de dados.Minerar e analisar dados de bancos de dados da empresa para impulsionar a…,https://tinyurl.com/y4gb8etz,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Reachr Soluções Inovadoras em RH,Avaliar a eficácia e precisão de novas fontes de dados e técnicas de coleta de dados.Minerar e analisar dados de bancos de dados da empresa para impulsionar a…,https://tinyurl.com/y3mz2968,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Reachr Soluções Inovadoras em RH,Avaliar a eficácia e precisão de novas fontes de dados e técnicas de coleta de dados.Minerar e analisar dados de bancos de dados da empresa para impulsionar a…,https://tinyurl.com/yyf65ez9,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Reachr Soluções Inovadoras em RH,Avaliar a eficácia e precisão de novas fontes de dados e técnicas de coleta de dados.Minerar e analisar dados de bancos de dados da empresa para impulsionar a…,https://tinyurl.com/y5o3wkqm,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
cientista de dados,"São Paulo, SP",Reachr Soluções Inovadoras em RH,Avaliar a eficácia e precisão de novas fontes de dados e técnicas de coleta de dados.Minerar e analisar dados de bancos de dados da empresa para impulsionar a…,https://tinyurl.com/y38vpv5t,senior,cientista de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro/a de machine learning,"São Paulo, SP",Ernst & Young,Conhecimento em engenharia de dados e compreensão de técnicas de Machine Learning.Implementar fluxos de trabalho para habilitar pipeline de industrialização de…,https://tinyurl.com/y6xqb2k3,sem informacao,engenheiro de machine learning,sao paulo, SP,-23.5329,-46.6395
engenheiro de machine learning,"São Paulo, SP",Portocred,"Definir soluções técnicas para implementação de modelos de matemáticos, estatísticos ou machine learning.Estruturar e identificar as dependências entre equipes…",https://tinyurl.com/y4j3b4ha,sem informacao,engenheiro de machine learning,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados / cientista de dados - senior - datasus,"São Paulo, SP",Keyrus Brazil,Experiência com modelagem de dados.Suporte em integração de dados DataSUS com outras fontes de mercado e internas.Experiência de trabalho com base DataSUS.,https://tinyurl.com/y67wj9j8,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados azure senior,"São Paulo, SP",Keyrus Brazil,"Criar pipelines de ingestão e transformação de dados.Analise e documentação das diversas fontes de dados do cliente (APIs, banco de dados relacionais e NO-SQL)…",https://tinyurl.com/y3xd7bld,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
a engenheiro de dados spark cloudera senior,"São Paulo, SP",Keyrus Brazil,O consultor irá trabalhar com tarefas de desenvolvimento e manutenção de rotinas utilizando PySpark e Pandas para ETL de entidades no Datalake.,https://tinyurl.com/y3bgptuz,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",Vitta,Conhecimentos em modelagem de dados;Conhecimento em bancos de dados estruturados;Ter a oportunidade de impactar a saúde de milhões de brasileiros.,https://tinyurl.com/y5h3awgh,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
analista engenheiro de dados senior,"São Paulo, SP",Brasilprev,"Experiência em: Análise e programação de demandas de modelagem e extração de dados.Venha fazer parte do nosso time de tecnologia, onde você terá com o objetivo…",https://tinyurl.com/y4lqkrhh,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados pleno,"São Paulo, SP",Vitta,Conhecimentos em modelagem de dados;Conhecimento em bancos de dados estruturados;Ter a oportunidade de impactar a saúde de milhões de brasileiros.,https://tinyurl.com/y6j8com9,pleno,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados junior,"São Paulo, SP",Avec,Realizar integração de produto de dados;Experiência em modelagem de banco de dados;Experiência de banco de dados SQL e NOSQL;Atuar na melhorias do Data Lake;,https://tinyurl.com/y3726quq,junior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - senior | python & spark,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Atuar de forma consultiva na Ingestão e tratamento de dados com Python e Spark;,https://tinyurl.com/y6pvkpl4,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados foco em aws - sao paulo - sp,"São Paulo, SP",Líder e Gestão,"Titulo: Engenheiro de Dados Foco em AWS - São Paulo - SPDescricao: Vaga PJ.Turno: Turno Não InformadoRequisitos: Python, No sql, Sql, Etl, Spark.",https://tinyurl.com/y6dhc3f2,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",DogHero,Em parceria com os times de Produto e Engenharia implementar o sistema de rastreamento de dados.Criar pipelines de dados e ETL para a implementação de Data…,https://tinyurl.com/y3xqb7yk,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados jr,"São Paulo, SP",HAYS,"Engenheiro de dados JR - CLT.Conhecimento em bancos de dados (MySQL, MS-SQL).Empresa multinacional com abrangência mundial em consultoria de soluções de…",https://tinyurl.com/y2jbtwmh,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados pl,"São Paulo, SP",HAYS,"Engenheiro de dados PL (CLT).Conhecimentos em banco de dados (MySQL, MS-SQL.Pacote de remuneração e benefícios atrativo e plano de carreira.",https://tinyurl.com/y6xhnjzh,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados junior,"São Paulo, SP",Lendico Brasil,Análise das fontes de geração de dados.Estamos buscando uma pessoa altamente motivada e qualificada para se juntar à missão de democratizar o uso de dados em…,https://tinyurl.com/y4py2wkg,junior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - assai,"São Paulo, SP",Semantix,"Engenheiro de dados para programação SQL, de preferência com certificação Oracle.Quer impactar bilhões de vidas com dados?",https://tinyurl.com/y2kyjkmg,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",Saúde iD - Toda Saúde é única.,Domínio de técnicas de ingestão e tratamento de dados.Habilidade com modelos de governança de dados e regras de segurança.,https://tinyurl.com/y373utm6,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior - projeto spc,"São Paulo, SP",Semantix,"Será responsável pelo entendimento e recebimento de atividades relacionadas a engenharia de dados, irá realizar o desenvolvimento e passagem para sustentação.",https://tinyurl.com/y35ypbrs,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
[sp] engenheiro de dados,"São Paulo, SP",RADIX Engenharia e Software,"Transformar de dados (manipulação de dados, estruturação de dados, transformações matemáticas, transformações estruturais, leitura e parse de arquivos - excel,…",https://tinyurl.com/yycf3fly,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - senior,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.Atuar em cliente com os itens abaixo.,https://tinyurl.com/yxd5jwt2,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",VR Benefícios,"Validar regras e dados de relatório;Programa de Participação de Resultados.Fazer levantamento de requisitos de negócio, identificar necessidades e sugerir…",https://tinyurl.com/y4kgcgbl,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
a engenheiro de dados python + gcp,"São Paulo, SP",Keyrus Brazil,"Capacidade de análise de soluções apropriadas e criá-las tecnicamente, com a qualidade apropriada (testes em QA, criação de massas de testes, etc).",https://tinyurl.com/y25gp8jp,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados junior/pleno,"São Paulo, SP",Leega Consultoria,"Extrair, organizar, tratar e disponibilizar os dados gerando indicadores para tomada de decisões gerenciais e de alto nível.",https://tinyurl.com/y5ohvl5t,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",Cognizant,"Bachelors in science , engineering or equivalent.Understand the functional/ nonfunctional requirements.Prepare the list of requirements and seek review inputs…",https://tinyurl.com/y4lqpgau,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",TAKING,.O time de Engenharia de Dados é responsável por construir todo o alicerce de dados que os.Monitorar e implementar de boas práticas de Qualidade de Dados.,https://tinyurl.com/y6smp44b,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior ( remoto),"São Paulo, SP",HOLDEN Recruiting Talents,Experiência em banco de dados SQL SERVER;Estamos recrutando para empresa de grande porte:Experiência em Desenvolvimento e modelagem de Data Warehouse;,https://tinyurl.com/y3nxgsq4,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados pleno/senior,"São Paulo, SP",Leega Consultoria,"Extrair, organizar, tratar e disponibilizar os dados gerando indicadores para tomada de decisões gerenciais e de alto nível.",https://tinyurl.com/yxbc3pzv,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados sr,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.,https://tinyurl.com/yxuzgtjk,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados jr.,"São Paulo, SP",PagSeguro PagBank,Avaliar e mentorear tecnicamente os engenheiros de dados.Conhecimento em arquitetura de dados.Conhecimento em modelagem de dados.,https://tinyurl.com/y3k36msz,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados jr.,"São Paulo, SP",Ernst & Young,Auxiliar na criação e manutenção de pipeline de dados.Garantir a ingestão e disponibilização de dados nos ambientes de BI.Fazer a Modelagem de Dados em ErWin;,https://tinyurl.com/y5nqaapy,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados/big data,"São Paulo, SP",Share RH,Realizar avaliação de conformidade dos processos de integração de dados implementados.Definir soluções que envolvam integração de dados de grande complexidade;,https://tinyurl.com/yy2cqs6p,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",Grupo diMelo,Avaliar processos e direcionar adequações nas soluções visando otimização de performance de código e de infraestrutura;Principais atividades do dia a dia:,https://tinyurl.com/y2mrg22t,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",OEmprego,"Sólido conhecimento em ambiente SPARK, HADOOP e soluções de ingestão de grande volume de dados.Experiência em definição de soluções de dados para necessidades…",https://tinyurl.com/y5ge7rbk,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",Curriculum.com.br,"Conhecimento avançado em Modelagem de Dados; Conhecimento avançado em Integração de Dados; Conhecimento avançado em Banco de Dados (SQL, Postgre, MongoDB) e…",https://tinyurl.com/y3vupc3s,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",5A Consultoria,"Desenvolvimento de soluções com grandes volumes de dados, seja offline ou real time;Experiência com modelagem dimensional de dados reporting e dashsboards como…",https://tinyurl.com/y6mzvpq4,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",Blend IT,Experiência com criação de pipelines de ingestão de dados usando Google Cloud.Conhecimento em criação de processos de carga de dados batch e streaming (origem…,https://tinyurl.com/y5tbv3to,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados pleno,"São Paulo, SP",Blend IT,Experiência com criação de pipelines de ingestão de dados usando Google Cloud.Conhecimento em criação de processos de carga de dados batch e streaming (origem…,https://tinyurl.com/yxgxq6jy,pleno,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",HAYS,"Pacote de benefícios atrativo de mercado!Como Engenheiro de Dados, você vai utilizar seus sólidos conhecimentos em Azure Dataflow - PowerBI Conhecimento em…",https://tinyurl.com/yyu4yq33,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados (talend),"São Paulo, SP",HAYS,"Busco um engenheiro de dados para atuar em uma Consultoria de soluções de negócios, estratégia, transformação digital, aplicações tecnológicas e outsoucing.",https://tinyurl.com/yxcxxrk9,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados pl.,"São Paulo, SP",PagSeguro PagBank,Avaliar e mentorear tecnicamente os engenheiros de dados.Conhecimento em arquitetura de dados.Conhecimento em modelagem de dados.,https://tinyurl.com/y4ubmwxy,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados bi sr.,"São Paulo, SP",People Talent, Atualizar e acompanhar indicadores de disponibilidade e processamentos de dados nas ferramentas de. Analisar e corrigir eventuais problemas na execução de…,https://tinyurl.com/y4wo5hzw,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados big data sr,"São Paulo, SP",People Talent,Desenvolvimento de soluções com grandes volumes de dados;Criação de modelos de dados analíticos e indicadores;Experiência com modelagem dimensional de dados;,https://tinyurl.com/y5yeousu,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - pleno,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Criação de documentação de todas rotinas realizadas.Curso de inglês e espanhol (in company) - Após 03 meses de…,https://tinyurl.com/y2zwr9zq,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados de qualidade (deq) e governanca de dados...,"São Paulo, SP",INEX,"Conhecimento das ferramentas Informatica DEQ e EDC (10.4.1).Conhecimento da ferramenta Informatica Data Engineering Quality (DEQ 10.4.1): Profile, Score Cards,…",https://tinyurl.com/y6o2ar4r,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",Indra,Opção de inclusão de dependentes no Gympass (até 03 dependentes - pago via cartão de crédito).Opção de inclusão de dependentes no Plano de Saúde com desconto…,https://tinyurl.com/y2pagb5v,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados de integracao (desenvolvedor etl),"São Paulo, SP",INEX,"Conhecimento em criptografia/mascaramento de dados, LGPD, conceitos de camada de dados bruto, confiável e refinado.",https://tinyurl.com/y5e6kokb,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",Indra,"Extrair, transformar e carregar (ETL) dados de um banco de dados para outro;Boa vivencia em Engenharia de dados;Conhecimento e experiência avançada com SQL.",https://tinyurl.com/y2cf2qud,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - sr (big data),"São Paulo, SP",Indra,"Vivencia com Splunk Enterprise, ingestões, criação de painéis, otimização de consultas, melhorias de performance, criação de comandos em python.",https://tinyurl.com/yygva7u5,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados sr - python,"São Paulo, SP",Indra,"Bons conhecimentos em soluções de integração de dados (APIs, softwares, técnicas);Excelente conhecimento em bancos de dados relacionais e não-relacionais;",https://tinyurl.com/y2k5o494,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados / power center,"São Paulo, SP",Leega Consultoria,Sólido conhecimento em banco de dados relacional;Modelagem de Dados Relacional e Dimensional.Experiência com esteiras de CI/CD.,https://tinyurl.com/y6s8oa8g,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior - techfin,"São Paulo, SP",TOTVS,"Construir de forma inovadora toda a arquitetura de dados, com vontade de experimentar e enfrentar com ousadia problemas de imensa complexidade e escopo, através…",https://tinyurl.com/yy3losj4,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",Comunidade Cognitivo.ai,"Experiência com ferramentas de orquestração de fluxo de dados (Airflow, Luigi e etc);Na nossa comunidade, você tem a oportunidade de aprender com os melhores…",https://tinyurl.com/y5s4dd23,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - splunk,"São Paulo, SP",Indra,"Experiência em criação de painéis, otimização de consultas e melhorias de performance.Opção de inclusão de dependentes no Gympass (até 03 dependentes - pago…",https://tinyurl.com/y5p4cehn,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Será responsável por apoiar na estratégia de ingestão de dados para o Data Lake (ETL).,https://tinyurl.com/y3zgnltm,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados sr - splunk,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.Criar comandos em python e Desenvolver scripts que…,https://tinyurl.com/yy4mblx9,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - especialista | cloud aws,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados?Experiências com desenvolvimento de Data Lake especialmente utilizando componentes AWS (S3, Athena) e pipeline de dado…",https://tinyurl.com/y5snsadp,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - senior | python & streaming,"São Paulo, SP",Semantix,"Desenvolver processos de conjunto de dados.Formato de dados Parquet e Avro, vivência em projetos de Streaming.Quer impactar bilhões de vidas com dados?",https://tinyurl.com/y5bdwymg,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",HAYS,"Você será responsável por construir e otimizar pipelines de dados, arquiteturas e conjuntos de dados complexos e não estruturados, além de manipular, processar…",https://tinyurl.com/y48ltdvq,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados / desenvolvedor python ( remoto),"São Paulo, SP",HOLDEN Recruiting Talents,Estamos atendendo grande player da área de tecnologia e buscamos.Analista de Dados (BI)/ Desenvolvedor Python Sênior.,https://tinyurl.com/y27c2vpl,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
[sp] engenheiro de dados sr.,"São Paulo, SP",RADIX Engenharia e Software,"Transformar de dados (manipulação de dados, estruturação de dados, transformações matemáticas, transformações estruturais, leitura e parse de arquivos - excel,…",https://tinyurl.com/y5hq3kgd,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - big data,"São Paulo, SP",Indra,"Big data (Hive, HBase, Spark, Pig), Python e ShellScript Linux/Unix;Formação : Estatístico, Matematica e ou cursos co relacionados e ou TI.",https://tinyurl.com/y3uhbdl5,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados iii,"São Paulo, SP",Padrão,"Construir junto com todo o time, usando princípios de engenharia de software para resolver desafios de produção e ajudando as equipes a serem orientadas por…",https://tinyurl.com/yy5l6ymc,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - senior | batch & nifi,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados?Formato de dado: Parquet, Pyspark.Atuar no processamento de dados por meio do Spark (Python);SQL em Hive e Impala.",https://tinyurl.com/y3l9jpnx,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - senior | spark,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados?O Profissional atuará junto à área de credito no cliente, predominantemente com manipulação de dados (data preparation…",https://tinyurl.com/y5htlbxh,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",CHAMA,"Precisamos de um engenheiro de dados que será responsável pela arquitetura, manutenção e desempenho de nosso ecossistema de dados para mantê-lo correto e…",https://tinyurl.com/y595xk6n,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados - senior | python,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.,https://tinyurl.com/y35u97yd,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados pl,"São Paulo, SP",Indra,"Analise de dados, ingestão de dados.Tuning (HQL e Processos de Ingestao).Vivencia com ou em uma destas tecnologias : Hadoop (Hive , Spark , MR, Tez), Python.",https://tinyurl.com/y55uu7l2,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados bi pl.,"São Paulo, SP",PagSeguro PagBank,Experiência com criação de modelos de dados e indicadores.Atualizar e acompanhar indicadores de disponibilidade e processamentos de dados nas ferramentas de D…,https://tinyurl.com/y63596v8,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados,"São Paulo, SP",JEITTO,Noções de governança e privacidade de dados.Desenvolver e monitorar os processos de ingestão de dados;Aqui no Jeitto engenharia de dados e tecnologia são…,https://tinyurl.com/yx9olbap,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
[sp] engenheiro de dados senior,"São Paulo, SP",RADIX Engenharia e Software,"Manipulação de dados em SQL;Além da experiência de crescimento e troca de conhecimento, os nossos colaboradores têm acesso a:Plano de Saúde e Odontológico;",https://tinyurl.com/y5hvyyol,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
engenheiro de dados senior,"São Paulo, SP",Beijaflore Brasil,Experiência na criação de scripts para tratamento de dados utilizando linguagem em Pyspark;Manutenção e codificação de melhorias em scripts Pyspark que efetuam…,https://tinyurl.com/y4b2buoz,senior,engenheiro de dados,sao paulo, SP,-23.5329,-46.6395
