Cargo,Local,Empresa,Descricao,Link,nivel,vaga,cidade,estado,latitude,longitude
pessoa cientista de dados senior (vaga remota),"Manaus, AM",Carreiras Méliuz,Atuar na especificação de processos e boas práticas para servirem de referência no desenvolvimento de projetos de Ciência de Dados.,https://tinyurl.com/y3y8jugn,senior,cientista de dados,manaus, AM,-3.1186599999999998,-60.0212
cientista de dados - analise de metricas de user trial globa...,"Manaus, AM",Eldorado,Experiência com banco de dados não relacionais.Desenvolver novos pipelines de dados e aplicações Web;Experiência com alguma ferramenta de controle de versão…,https://tinyurl.com/yxv8qpy9,senior,cientista de dados,manaus, AM,-3.1186599999999998,-60.0212
cientista de dados,"Manaus, AM",People Talent,"Capacidade de elaborar apresentações de dados e análises de machine learning.Definir estratégias para geração, coleta e extração de dados, inclusos mas não…",https://tinyurl.com/y6js9zaa,senior,cientista de dados,manaus, AM,-3.1186599999999998,-60.0212
engenheiro de dados senior,"Manaus, AM","Liferay, Inc","Construir batchs em larga escala e pipelines de dados em tempo real com frameworks de processamento de dados como o Apache Beam, o Apache Spark e a Plataforma…",https://tinyurl.com/y2kfmcm7,senior,engenheiro de dados,manaus, AM,-3.1186599999999998,-60.0212
cientista de dados,"Betim, MG",MSA Recursos Humanos,"Desejável conhecimento de SAP RH, Banco de dados e Metodologias ágeis;Experiência com atualização e análise crítica de indicadores de desempenho de headcount e…",https://tinyurl.com/y3g63gdb,senior,cientista de dados,betim, MG,-19.9668,-44.2008
consultor(a) de bi / cientista de dados,"Betim, MG",Vetta,Aplicação de modelos estatísticos em grandes volumes de dados e desenvolvimento de projetos de análise de dados.Conhecimento em Data Stage é diferencial.,https://tinyurl.com/yybm3vt3,senior,cientista de dados,betim, MG,-19.9668,-44.2008
tecnico(a)/cientista de dados (cervejaria pernambuco),"Itapissuma, PE",Ambev,Apresentar informações usando técnicas de visualização de dados;Ter pensamento crítico e habilidades de resolução de problemas essenciais à interpretação de…,https://tinyurl.com/yxsqfc3g,senior,cientista de dados,itapissuma, PE,-7.7679800000000006,-34.8971
cientista de dados,"Indaiatuba, SP",Stefanini,3 anos de experiência como cientista de dados/estatístico/programador.Além de ter a ótima sensação de estar ajudando a combater o crime contra roubo a bancos…,https://tinyurl.com/yy5xklnu,senior,cientista de dados,indaiatuba, SP,-23.0816,-47.2101
cientista de dados - pleno,"São Caetano do Sul, SP",OEmprego,Interagir com os consumidores e originadores de dados para analisar e resolver problemas de qualidade de dados;| Ensino: . | Turno: Integral.,https://tinyurl.com/y447k89g,pleno,cientista de dados,sao caetano do sul, SP,-23.6229,-46.5548
cientista de dados,"Jaraguá do Sul, SC",Marisol,Ter capacidade de traduzir a linguagem de um cientista de dados para os demais envolvidos no negócio;Conhecimento técnico de infraestruturas de dados e…,https://tinyurl.com/y3k9qlab,senior,cientista de dados,jaragua do sul, SC,-26.4851,-49.0713
