Cargo,Local,Empresa,Descricao,Link
Engenheiro(a) de Dados Big Query,"São Paulo, SP",GeekHunter,Desenho de Arquitetura de Soluções num contexto de metodologias ágeis;Liderança de coordenação de equipe;Coordenar as reuniões de trabalho para a captação de…,https://tinyurl.com/y6gv4e4p
Engenheiro de dados - Especialista | Cloud AWS,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados?Experiências com desenvolvimento de Data Lake especialmente utilizando componentes AWS (S3, Athena) e pipeline de dado…",https://tinyurl.com/y5snsadp
Engenheiro de Dados Pleno e Senior,Remoto,Arquivei,Definição e implementação de arquiteturas escaláveis de processamento de dados.Já passou por migrações de banco de dados.Lidar com um grande volume de dados;,https://tinyurl.com/y4hznmlr
Engenheiro de Dados - Sênior | Python & Streaming,"São Paulo, SP",Semantix,"Desenvolver processos de conjunto de dados.Formato de dados Parquet e Avro, vivência em projetos de Streaming.Quer impactar bilhões de vidas com dados?",https://tinyurl.com/y5bdwymg
Engenheiro de Dados - Senior,"Campinas, SP",Gateware IT,Responsável por encontrar tendências nos conjuntos de dados e desenvolver algoritmos para transformar os dados brutos em informações úteis para tomada de…,https://tinyurl.com/y6dgvkht
PESSOA ENGENHEIRA DE DADOS,Brasil,Fox Human Capital,"+4 anos de experiência com SQL, bancos de dados relacionais e administração de Banco de Dados.Deverá interagir com analistas de dados e profissionais de…",https://tinyurl.com/y3lrsmkb
Engenheiro(a) de Dados pleno Python,"São Paulo, SP",GeekHunter,"Conhecimento em modelagem de dados; Vivência em ambientes com processos Ágeis; Desejável PySpark, engenharia de sofware e design patterns.O que você irá fazer?",https://tinyurl.com/y4rhkvu3
Engenheiro(a) de Dados Python pleno,"Hortolândia, SP",GeekHunter,Auxiliar na Criação / Gerenciamento de bancos de dados e serviços de integração de dados.Habilidades de banco de dados relacional e não relacional.,https://tinyurl.com/y223qybn
Engenheiro de Dados,"São Paulo, SP",HAYS,"Você será responsável por construir e otimizar pipelines de dados, arquiteturas e conjuntos de dados complexos e não estruturados, além de manipular, processar…",https://tinyurl.com/y48ltdvq
Engenheiro de Dados Sênior,"Curitiba, PR",Ewave do Brasil,"Construir fluxos de ETL, desde o mapeamento das fontes de dados e sistemas legados, até o tratamento e aplicação de regras de negócios e disponibilização nas…",https://tinyurl.com/yxljro63
Engenheiro de Dados / Desenvolvedor Python ( remoto),"São Paulo, SP",HOLDEN Recruiting Talents,Estamos atendendo grande player da área de tecnologia e buscamos.Analista de Dados (BI)/ Desenvolvedor Python Sênior.,https://tinyurl.com/y27c2vpl
Engenheiro de Dados,"Rondonópolis, MT",Só Talentos,"Conhecimento de bancos de dados SQL.Analise de dados e processos internos/ externos com finalidade de responder questões comerciais, além de identificar…",https://tinyurl.com/y3nbclty
[SP] Engenheiro de Dados Sr.,"São Paulo, SP",RADIX Engenharia e Software,"Transformar de dados (manipulação de dados, estruturação de dados, transformações matemáticas, transformações estruturais, leitura e parse de arquivos - excel,…",https://tinyurl.com/y5hq3kgd
Estágio Nível Superior para atuar na área de engenharia de d...,"Florianópolis, SC",Dígitro,"Modelagem de dados, elaboração de scripts de banco de dados, ETL, desenvolvimento javascript, node, python.Cadastre seu currículo na nossa base de dados.",https://tinyurl.com/y3tmyng6
Pessoa Engenheira de Dados,"São Paulo, SP",Centauro - Tecnologia,Atuar no processo de ingestão de dados de diversas origens para o datalake;Ferramentas de ingestão de dados (preferencialmente NIFI) e experiência com captura…,https://tinyurl.com/y6xmm6qz
Engenheiro(a) de Dados,"Belo Horizonte, MG",GeekHunter,Processo de preparação de dados.Utilização dos conceitos de classificação e previsão de dados para construção de modelos de machine learning;,https://tinyurl.com/yxuuhoal
Engenheiro de Dados - Big Data,"São Paulo, SP",Indra,"Big data (Hive, HBase, Spark, Pig), Python e ShellScript Linux/Unix;Formação : Estatístico, Matematica e ou cursos co relacionados e ou TI.",https://tinyurl.com/y3uhbdl5
Engenheiro de Dados III,"São Paulo, SP",Padrão,"Construir junto com todo o time, usando princípios de engenharia de software para resolver desafios de produção e ajudando as equipes a serem orientadas por…",https://tinyurl.com/yy5l6ymc
Engenheiro de Dados,"Joinville, SC",Docol,"Conhecimento de Bibliotecas de manipulação de arquivos e visualização de dados (Pandas, Numpy e Matplotlib).Manutenção da governança dos dados.",https://tinyurl.com/y5e8d3cd
Engenheiro de Dados - Bari Service,"Curitiba, PR",Banco Bari e Grupo,"Construir fluxos de ETL, desde o mapeamento das fontes de dados e sistemas legados, até o tratamento e aplicação de regras de negócios e disponibilização nas…",https://tinyurl.com/y2nejsjr
Engenheiro(a) de Dados | Advertising,"Poá, SP",Globo,"Conhcimento de banco de dados não relacionais;Domínio de engenharia de software, princípios, boas práticas e padrões de arquitetura;Como será seu dia a dia:",https://tinyurl.com/y5sd85sd
Analista de Engenharia de Dados Sr,"Barueri, SP",C&A,Desenvolver fluxos de tratamento de dados utilizando Python;Experiência em tratamento de dados utilizando Python;A C&A é muito eu.,https://tinyurl.com/y2h99neq
Engenheiro(a) de Dados | Advertising,"Poá, SP",Grupo Globo,"Conhcimento de banco de dados não relacionais;Domínio de engenharia de software, princípios, boas práticas e padrões de arquitetura;Como será seu dia a dia:",https://tinyurl.com/y2q7zd2w
Engenheiro(a) de Dados pleno Python (remoto),"São Paulo, SP",GeekHunter,Criação prévia ou manutenção de pipelines de dados complexos;Análise de desempenho de queries.Desenvolver e manter a infraestrutura de nossos dados;,https://tinyurl.com/yyabqdgn
Pessoa Engenheira de Dados,"São Paulo, SP",Share RH,Realizar avaliação de conformidade dos processos de integração de dados.Construir os processos de ingestão e integração de dados estruturados com.,https://tinyurl.com/y6xzxcp7
Pessoa Engenheira de Dados III,Remoto,Involves,"Como pessoa engenheira de dados, você ajudará a construir e manter bases de dados confiáveis, consistentes e organizadas para geração de insights e tomada de…",https://tinyurl.com/yyoglfwn
ANL ENGENHARIA TI SR - Comunidade de Dados,"São Paulo, SP",Itaú Unibanco,"Atuação como engenheiro de software, sendo responsável em participar de todo o ciclo de vida e desenvolvimento da solução envolvendo demandas da RT de…",https://tinyurl.com/y5tyfew4
Engenheiro(a) de Dados Java Pleno,Brasil,GeekHunter,"Nesta oportunidade você irá pesquisar, definir e desenvolver as soluções de processamento, armazenamento e disponibilização de grandes volumes de dados que…",https://tinyurl.com/y4xa9v4a
Engenheiro(a) de dados - Pleno,Remoto,Contabilizei,Cria rotinas de integração de dados conforme a necessidade verificada pela área de dados.Apoiar os demais em problemas de média complexidade ao longo de…,https://tinyurl.com/y48t7vlx
Engenheiro(a) de Dados Elasticsearch (remoto),"Curitiba, PR",GeekHunter,"Desenvolver, construir, testar e manter as arquiteturas dos bancos de dados e sistemas de processamento de dados em tempo real e de forma distribuída;",https://tinyurl.com/y2euyzr8
Engenheiro de Dados - Sênior | Batch & NIFI,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados?Formato de dado: Parquet, Pyspark.Atuar no processamento de dados por meio do Spark (Python);SQL em Hive e Impala.",https://tinyurl.com/y3l9jpnx
Engenheiro de Dados - Sênior | Spark,"São Paulo, SP",Semantix,"Quer impactar bilhões de vidas com dados?O Profissional atuará junto à área de credito no cliente, predominantemente com manipulação de dados (data preparation…",https://tinyurl.com/y5htlbxh
Engenheiro de Dados,"São Paulo, SP",CHAMA,"Precisamos de um engenheiro de dados que será responsável pela arquitetura, manutenção e desempenho de nosso ecossistema de dados para mantê-lo correto e…",https://tinyurl.com/y595xk6n
Engenheiro de Dados - Sênior | Python,"São Paulo, SP",Semantix,Quer impactar bilhões de vidas com dados?Curso de inglês e espanhol (in company) - Após 03 meses de empresa.,https://tinyurl.com/y35u97yd
Engenheiro de Dados PL,"São Paulo, SP",Indra,"Analise de dados, ingestão de dados.Tuning (HQL e Processos de Ingestao).Vivencia com ou em uma destas tecnologias : Hadoop (Hive , Spark , MR, Tez), Python.",https://tinyurl.com/y55uu7l2
Engenheiro de Dados BI Pl.,"São Paulo, SP",PagSeguro PagBank,Experiência com criação de modelos de dados e indicadores.Atualizar e acompanhar indicadores de disponibilidade e processamentos de dados nas ferramentas de D…,https://tinyurl.com/y63596v8
