Cargo,Local,Empresa,Descricao,Link
Engenheiro/a de Machine Learning,"São Paulo, SP",Ernst & Young,Conhecimento em engenharia de dados e compreensão de técnicas de Machine Learning.Implementar fluxos de trabalho para habilitar pipeline de industrialização de…,https://tinyurl.com/y6xqb2k3
Engenheiro de Machine Learning,"São Paulo, SP",Portocred,"Definir soluções técnicas para implementação de modelos de matemáticos, estatísticos ou machine learning.Estruturar e identificar as dependências entre equipes…",https://tinyurl.com/y4j3b4ha
Engenheiro(a) de Machine Learning - Chatbot | Big Data & AI,"Rio de Janeiro, RJ",Globo,"Possibilidade de impactar positivamente a vida de milhares de usuários;Trabalhamos com uma variedade de tecnologias e linguagens para atingir nossos objetivos,…",https://tinyurl.com/y6y3qdvk
Pessoa Engenheira de Machine Learning,"Porto Alegre, RS",Lojas Renner,"Essa pessoa atuará em conjunto com os times de Ciência de Dados, Engenheiros de Software, Engenheiro de Dados e nossas equipes de negócio no desenvolvimento de…",https://tinyurl.com/y4lm77w7
Engenheiro(a) de Machine Learning - Chatbot | Big Data & AI,"Rio de Janeiro, RJ",Grupo Globo,"Possibilidade de impactar positivamente a vida de milhares de usuários;Trabalhamos com uma variedade de tecnologias e linguagens para atingir nossos objetivos,…",https://tinyurl.com/yy7gdl37
